SiteID,LayerID,Country,Period,Era,A,B,C1,C2,C3,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,F1,F2,F3,G1,G2,G3,H,I,Latitude,Longitude
1016080,3081417,Russian Federation,MP,MP,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,51.4243,83.0957
1016080,3081428,Russian Federation,MP,MP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.4243,83.0957
1016105,3041703,Russian Federation,UP,unknouwn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2,86.1833
1016426,3042298,"Korea, Republic of",UP,UP,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,37.7697,127.0875
1016426,3042302,"Korea, Republic of",UP,UP,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,37.7697,127.0875
1016770,3043026,"Korea, Republic of",UP,UP,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,38.1944,127.2944
1016806,3043082,"Korea, Republic of",UP,UP,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,37.6842,127.8614
1016806,3043118,"Korea, Republic of",MP,MP,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6842,127.8614
1016806,3043093,"Korea, Republic of",UP,UP,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6842,127.8614
1016806,3043107,"Korea, Republic of",MP,MP,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6842,127.8614
1016839,3043163,"Korea, Republic of",MP,MP,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.9969,128.3559
1016839,3043174,"Korea, Republic of",MP,MP,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.9969,128.3559
1016839,3043185,"Korea, Republic of",UP,UP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.9969,128.3559
1016839,3043196,"Korea, Republic of",UP,UP,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.9969,128.3559
1016851,3043244,"Korea, Republic of",UP,MUP,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9619,128.3311
1016851,3043255,"Korea, Republic of",MP,MP,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.9619,128.3311
1016909,3043314,"Korea, Republic of",UP,MUP,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.2333,127.3333
1017036,3043510,"Korea, Republic of",UP,UP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.6664,127.4948
1017036,3043521,"Korea, Republic of",MP,MP,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.6664,127.4948
1017069,3043554,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.4475,127.4535
1017069,3043565,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,36.4475,127.4535
1017069,3043576,"Korea, Republic of",UP,UP,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,36.4475,127.4535
1017069,3043587,"Korea, Republic of",UP,UP,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.4475,127.4535
1017117,3043808,"Korea, Republic of",MP,MP,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,35.1166,127.4269
1017117,3043819,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.1166,127.4269
1017117,3043820,"Korea, Republic of",MP,MP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1166,127.4269
1017117,3043831,"Korea, Republic of",MP,MP,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,35.1166,127.4269
